locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOFMHOMA_00034	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
OOFMHOMA_00035	CDS	801	btuF		COG0614	Vitamin B12-binding protein
OOFMHOMA_00036	CDS	624				hypothetical protein
OOFMHOMA_00037	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
OOFMHOMA_00038	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
OOFMHOMA_00039	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
OOFMHOMA_00040	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
OOFMHOMA_00041	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
OOFMHOMA_00042	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
OOFMHOMA_00043	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
OOFMHOMA_00044	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
OOFMHOMA_00045	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
OOFMHOMA_00046	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
OOFMHOMA_00047	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
OOFMHOMA_00048	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
OOFMHOMA_00049	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
OOFMHOMA_00050	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
OOFMHOMA_00051	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
OOFMHOMA_00052	CDS	585	yadN			putative fimbrial-like protein YadN
OOFMHOMA_00053	CDS	741	yadV			putative fimbrial chaperone YadV
OOFMHOMA_00054	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
OOFMHOMA_00055	CDS	570	yadM			putative fimbrial-like protein YadM
OOFMHOMA_00056	CDS	603	yadL			putative fimbrial-like protein YadL
OOFMHOMA_00057	CDS	597	yadK			putative fimbrial-like protein YadK
OOFMHOMA_00058	CDS	1275	yadC			putative fimbrial-like protein YadC
OOFMHOMA_00059	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
OOFMHOMA_00060	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
OOFMHOMA_00061	CDS	960				ISNCY family transposase ISRor2
OOFMHOMA_00062	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
OOFMHOMA_00063	CDS	1230				hypothetical protein
OOFMHOMA_00064	CDS	441				hypothetical protein
OOFMHOMA_00065	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
OOFMHOMA_00066	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
OOFMHOMA_00067	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
OOFMHOMA_00068	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
OOFMHOMA_00069	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
OOFMHOMA_00070	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
OOFMHOMA_00071	CDS	309				hypothetical protein
OOFMHOMA_00072	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
OOFMHOMA_00073	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
OOFMHOMA_00074	CDS	363				hypothetical protein
OOFMHOMA_00075	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
OOFMHOMA_00076	CDS	1758				hypothetical protein
OOFMHOMA_00077	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
OOFMHOMA_00078	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
OOFMHOMA_00079	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
OOFMHOMA_00080	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
OOFMHOMA_00081	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
OOFMHOMA_00082	CDS	855	ampE		COG3725	Protein AmpE
OOFMHOMA_00083	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
OOFMHOMA_00084	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
OOFMHOMA_00085	CDS	441				hypothetical protein
OOFMHOMA_00086	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
OOFMHOMA_00087	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
OOFMHOMA_00088	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
OOFMHOMA_00089	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
OOFMHOMA_00090	CDS	744	zapD		COG4582	Cell division protein ZapD
OOFMHOMA_00091	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
OOFMHOMA_00092	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
OOFMHOMA_00093	CDS	2706	secA		COG0653	Protein translocase subunit SecA
OOFMHOMA_00094	CDS	588	secM			Secretion monitor
OOFMHOMA_00095	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
OOFMHOMA_00096	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
OOFMHOMA_00097	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
OOFMHOMA_00098	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
OOFMHOMA_00099	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
OOFMHOMA_00100	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
OOFMHOMA_00101	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
OOFMHOMA_00102	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
OOFMHOMA_00103	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
OOFMHOMA_00104	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
OOFMHOMA_00105	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
OOFMHOMA_00106	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
OOFMHOMA_00107	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
OOFMHOMA_00108	CDS	366	ftsL		COG3116	Cell division protein FtsL
OOFMHOMA_00109	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
OOFMHOMA_00110	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
OOFMHOMA_00111	CDS	1005	cra		COG1609	Catabolite repressor/activator
OOFMHOMA_00112	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
OOFMHOMA_00113	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
OOFMHOMA_00114	CDS	945	leuO			HTH-type transcriptional regulator LeuO
OOFMHOMA_00115	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
OOFMHOMA_00116	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
OOFMHOMA_00117	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
OOFMHOMA_00118	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
OOFMHOMA_00119	CDS	1179	setA			Sugar efflux transporter A
OOFMHOMA_00120	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
OOFMHOMA_00121	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
OOFMHOMA_00122	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
OOFMHOMA_00123	CDS	1611				hypothetical protein
OOFMHOMA_00124	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
OOFMHOMA_00125	CDS	765	yabI		COG0586	Inner membrane protein YabI
OOFMHOMA_00126	CDS	879	araC			Arabinose operon regulatory protein
OOFMHOMA_00127	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
OOFMHOMA_00128	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
OOFMHOMA_00129	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
OOFMHOMA_00130	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
OOFMHOMA_00131	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
OOFMHOMA_00132	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
OOFMHOMA_00133	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
OOFMHOMA_00134	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
OOFMHOMA_00135	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
OOFMHOMA_00136	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
OOFMHOMA_00137	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
OOFMHOMA_00138	CDS	378	apaG		COG2967	Protein ApaG
OOFMHOMA_00139	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
OOFMHOMA_00140	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
OOFMHOMA_00141	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OOFMHOMA_00142	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
OOFMHOMA_00143	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
OOFMHOMA_00144	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
OOFMHOMA_00145	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
OOFMHOMA_00146	CDS	942	fixB_1		COG2025	Protein FixB
OOFMHOMA_00147	CDS	771	fixA_1		COG2086	Protein FixA
OOFMHOMA_00148	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
OOFMHOMA_00149	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
OOFMHOMA_00150	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
OOFMHOMA_00151	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
OOFMHOMA_00152	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
OOFMHOMA_00153	CDS	591	yrdA_1		COG0663	Protein YrdA
OOFMHOMA_00154	CDS	396				hypothetical protein
OOFMHOMA_00155	CDS	219				hypothetical protein
OOFMHOMA_00156	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
OOFMHOMA_00157	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
OOFMHOMA_00158	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
OOFMHOMA_00159	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
OOFMHOMA_00160	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
OOFMHOMA_00161	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
OOFMHOMA_00162	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
OOFMHOMA_00163	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
OOFMHOMA_00164	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
OOFMHOMA_00165	CDS	264	rpsT		COG0268	30S ribosomal protein S20
OOFMHOMA_00166	CDS	213				hypothetical protein
OOFMHOMA_00167	CDS	777				hypothetical protein
OOFMHOMA_00168	CDS	1170	yehB_1		COG3188	Outer membrane usher protein YehB
OOFMHOMA_00169	CDS	960				hypothetical protein
OOFMHOMA_00170	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
OOFMHOMA_00171	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
OOFMHOMA_00172	CDS	210				hypothetical protein
OOFMHOMA_00173	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
OOFMHOMA_00174	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
OOFMHOMA_00175	CDS	405				hypothetical protein
OOFMHOMA_00176	CDS	714				hypothetical protein
OOFMHOMA_00177	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
OOFMHOMA_00178	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
OOFMHOMA_00179	CDS	954	tal_1	2.2.1.2		Transaldolase
OOFMHOMA_00180	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
OOFMHOMA_00181	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
OOFMHOMA_00182	CDS	297				hypothetical protein
OOFMHOMA_00183	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
OOFMHOMA_00184	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
OOFMHOMA_00185	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
OOFMHOMA_00186	CDS	687	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
OOFMHOMA_00187	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
OOFMHOMA_00188	CDS	1353	creD		COG4452	Inner membrane protein CreD
OOFMHOMA_00189	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
OOFMHOMA_00190	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
OOFMHOMA_00191	CDS	474				hypothetical protein
OOFMHOMA_00192	CDS	870	rob_1		COG2207	Right origin-binding protein
OOFMHOMA_00193	CDS	648	pspB_1	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
OOFMHOMA_00194	CDS	513	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
OOFMHOMA_00195	CDS	297	trpR		COG2973	Trp operon repressor
OOFMHOMA_00196	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
OOFMHOMA_00197	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
OOFMHOMA_00198	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
OOFMHOMA_00199	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
OOFMHOMA_00200	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
OOFMHOMA_00201	CDS	645	ytjB		COG3726	putative inner membrane protein Smp
OOFMHOMA_00202	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
OOFMHOMA_00203	CDS	150				hypothetical protein
OOFMHOMA_00204	CDS	720	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
OOFMHOMA_00205	CDS	1224	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
OOFMHOMA_00206	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
OOFMHOMA_00207	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
OOFMHOMA_00208	CDS	1551	yjjI			putative protein YjjI
OOFMHOMA_00209	CDS	864	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
OOFMHOMA_00210	CDS	783	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
OOFMHOMA_00211	CDS	1074				hypothetical protein
OOFMHOMA_00212	CDS	162				hypothetical protein
OOFMHOMA_00213	CDS	606	osmY_1		COG2823	Osmotically-inducible protein Y
OOFMHOMA_00214	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
OOFMHOMA_00215	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
OOFMHOMA_00216	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
OOFMHOMA_00217	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
OOFMHOMA_00218	CDS	1032	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
OOFMHOMA_00219	tRNA	87				tRNA-Leu(cag)
OOFMHOMA_00220	tRNA	87				tRNA-Leu(cag)
OOFMHOMA_00221	tRNA	87				tRNA-Leu(cag)
OOFMHOMA_00222	CDS	237				hypothetical protein
OOFMHOMA_00223	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
OOFMHOMA_00224	CDS	678	bglJ		COG2197	Transcriptional activator protein BglJ
OOFMHOMA_00225	CDS	726	yjjQ			Putative transcription factor YjjQ
OOFMHOMA_00226	CDS	834	yjjP		COG2966	Inner membrane protein YjjP
OOFMHOMA_00227	CDS	474				hypothetical protein
OOFMHOMA_00228	CDS	540	dnaT			Primosomal protein 1
OOFMHOMA_00229	CDS	738	dnaC_1		COG1484	DNA replication protein DnaC
OOFMHOMA_00230	CDS	495				hypothetical protein
OOFMHOMA_00231	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
OOFMHOMA_00232	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
OOFMHOMA_00233	CDS	915	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
OOFMHOMA_00234	CDS	1362	lgoT_1			putative L-galactonate transporter
OOFMHOMA_00235	CDS	1665	tsr		COG0840	Methyl-accepting chemotaxis protein I
OOFMHOMA_00236	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
OOFMHOMA_00237	CDS	204				hypothetical protein
OOFMHOMA_00238	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
OOFMHOMA_00239	CDS	1653				hypothetical protein
OOFMHOMA_00240	CDS	2433				hypothetical protein
OOFMHOMA_00241	CDS	1470		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
OOFMHOMA_00242	CDS	1737	hsdS		COG0732	Type-1 restriction enzyme EcoKI specificity protein
OOFMHOMA_00243	CDS	342	symE	3.1.-.-		Toxic protein SymE
OOFMHOMA_00244	CDS	1371				hypothetical protein
OOFMHOMA_00245	CDS	717				hypothetical protein
OOFMHOMA_00246	CDS	165				hypothetical protein
OOFMHOMA_00247	CDS	1413	norG		COG1167	HTH-type transcriptional regulator NorG
OOFMHOMA_00248	CDS	957				ISNCY family transposase ISRor2
OOFMHOMA_00249	CDS	1233	mdtM			Multidrug resistance protein MdtM
OOFMHOMA_00250	CDS	1248				hypothetical protein
OOFMHOMA_00251	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
OOFMHOMA_00252	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
OOFMHOMA_00253	CDS	258				hypothetical protein
OOFMHOMA_00254	CDS	972	yjiK		COG3204	putative protein YjiK
OOFMHOMA_00255	CDS	1179				hypothetical protein
OOFMHOMA_00256	CDS	555	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
OOFMHOMA_00257	CDS	684				hypothetical protein
OOFMHOMA_00258	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
OOFMHOMA_00259	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
OOFMHOMA_00260	CDS	912	yjiE_1			HTH-type transcriptional regulator YjiE
OOFMHOMA_00261	CDS	393	iraD			Anti-adapter protein IraD
OOFMHOMA_00262	CDS	831				hypothetical protein
OOFMHOMA_00263	CDS	726	pdhR_2		COG2186	Pyruvate dehydrogenase complex repressor
OOFMHOMA_00264	CDS	195				hypothetical protein
OOFMHOMA_00265	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
OOFMHOMA_00266	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
OOFMHOMA_00267	CDS	1344	gntP		COG2610	High-affinity gluconate transporter
OOFMHOMA_00268	CDS	2415				hypothetical protein
OOFMHOMA_00269	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
OOFMHOMA_00270	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
OOFMHOMA_00271	CDS	771				hypothetical protein
OOFMHOMA_00272	CDS	855	cnoX		COG3118	Chaperedoxin
OOFMHOMA_00273	CDS	780	fetB		COG0390	putative iron export permease protein FetB
OOFMHOMA_00274	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
OOFMHOMA_00275	CDS	918	qmcA		COG0330	Protein QmcA
OOFMHOMA_00276	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
OOFMHOMA_00277	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
OOFMHOMA_00278	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
OOFMHOMA_00279	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
OOFMHOMA_00280	CDS	2505	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
OOFMHOMA_00281	CDS	396	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
OOFMHOMA_00282	CDS	795				hypothetical protein
OOFMHOMA_00283	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
OOFMHOMA_00284	CDS	1653	ushA		COG0737	Protein UshA
OOFMHOMA_00285	CDS	1221	fsr			Fosmidomycin resistance protein
OOFMHOMA_00286	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
OOFMHOMA_00287	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
OOFMHOMA_00288	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
OOFMHOMA_00289	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
OOFMHOMA_00290	CDS	705	adk	2.7.4.3	COG0563	Adenylate kinase
OOFMHOMA_00291	CDS	1875	htpG		COG0326	Chaperone protein HtpG
OOFMHOMA_00292	CDS	606	recR		COG0353	Recombination protein RecR
OOFMHOMA_00293	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
OOFMHOMA_00294	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
OOFMHOMA_00295	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
OOFMHOMA_00296	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
OOFMHOMA_00297	CDS	528	priC		COG3923	Primosomal replication protein N''
OOFMHOMA_00298	CDS	162				hypothetical protein
OOFMHOMA_00299	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
OOFMHOMA_00300	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
OOFMHOMA_00301	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
OOFMHOMA_00302	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
OOFMHOMA_00303	CDS	375	tomB			Hha toxicity modulator TomB
OOFMHOMA_00304	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
OOFMHOMA_00305	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
OOFMHOMA_00306	CDS	471	ylaC			Inner membrane protein YlaC
OOFMHOMA_00307	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
OOFMHOMA_00308	CDS	354	ybaA		COG5507	putative protein YbaA
